,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
599,0038762,My Darling Clementine,1946,7.7,"$2,000,000 (estimated)","$15,293",3783.0,1946.0,1.0
600,0036868,The Best Years of Our Lives,1946,8.1,"$2,100,000 (estimated)","$23,661,347",3982.0,1946.0,2.0
602,0038499,Duel in the Sun,1946,6.7,"$8,000,000 (estimated)","$20,428,771",4900.0,1946.0,2.0
610,0038574,Great Expectations,1946,7.8,"£350,000 (estimated)","$19,329",9182.0,1946.0,2.0
612,0039192,Black Narcissus,1947,7.7,"£280,000 (estimated)","$58,577",1211.0,1947.0,3.0
618,0039694,The Paradine Case,1947,6.5,"$4,258,000 (estimated)","$6,789",2330.0,1947.0,2.0
619,0039420,The Ghost and Mrs. Muir,1947,7.8,"$4,258,000 (estimated)","$6,789",3047.0,1947.0,3.0
633,0039302,Dark Passage,1947,7.5,"$1,600,000 (estimated)","$9,693",10523.0,1947.0,2.0
634,0039631,Monsieur Verdoux,1947,7.8,"$2,000,000 (estimated)","$65,718",10635.0,1947.0,3.0
635,0040724,Red River,1948,7.8,"$3,000,000 (estimated)","$14,462",1320.0,1948.0,0.0
636,0040725,The Red Shoes,1948,8.1,"£500,000 (estimated)","$30,846",1229.0,1948.0,3.0
637,0040416,Hamlet,1948,7.6,"£500,000 (estimated)","$30,846",1232.0,1948.0,1.0
638,0040183,Bonnie Prince Charlie,1948,5.2,"£500,000 (estimated)","$30,846",1236.0,1948.0,2.0
643,0040746,Rope,1948,7.9,"$1,500,000 (estimated)","$10,590",2040.0,1948.0,0.0
644,0040806,The Snake Pit,1948,7.6,"$1,500,000 (estimated)","$10,590",2098.0,1948.0,3.0
645,0040214,Casbah,1948,6.0,"$1,500,000 (estimated)","$10,590",2256.0,1948.0,1.0
648,0040897,The Treasure of the Sierra Madre,1948,8.2,"$3,000,000 (estimated)","$5,014,000",3239.0,1948.0,0.0
649,0040458,I Remember Mama,1948,7.9,"$3,000,000 (estimated)","$5,014,000",4390.0,1948.0,3.0
650,0041088,Act of Violence,1948,7.5,"$3,000,000 (estimated)","$5,014,000",4944.0,1948.0,2.0
653,0040522,Bicycle Thieves,1948,8.3,"$133,000 (estimated)","$436,655",6517.0,1948.0,2.0
657,0040068,Abbott and Costello Meet Frankenstein,1948,7.3,"$800,000 (estimated)","$4,812,444",10163.0,1948.0,3.0
658,0040636,The Naked City,1948,7.6,"$800,000 (estimated)","$4,812,444",10359.0,1948.0,1.0
675,0041452,The Heiress,1949,8.1,"$2,600,000 (estimated)",$158,6358.0,1949.0,3.0
676,0041498,I Was a Male War Bride,1949,7.0,"$2,600,000 (estimated)",$158,7018.0,1949.0,2.0
685,0042192,All About Eve,1950,8.2,"$1,400,000 (estimated)","$151,052",139.0,1950.0,3.0
686,0043014,Sunset Blvd.,1950,8.4,"$1,752,000 (estimated)","$300,073",608.0,1950.0,3.0
687,0042876,Rashomon,1950,8.2,"$250,000 (estimated)","$81,379",1402.0,1950.0,0.0
689,0042208,The Asphalt Jungle,1950,7.8,"$1,232,000 (estimated)","$29,868",2099.0,1950.0,1.0
698,0042994,Stage Fright,1950,7.0,"$1,437,000 (estimated)",$47,6233.0,1950.0,3.0
705,0042530,Gun Crazy,1950,7.6,"$400,000 (estimated)","$17,322",10663.0,1950.0,3.0
706,0043338,Ace in the Hole,1951,8.1,"$1,800,000 (estimated)","$2,300,000",871.0,1951.0,2.0
707,0044079,Strangers on a Train,1951,7.9,"$1,200,000 (estimated)","$29,662",1417.0,1951.0,2.0
708,0043265,The African Queen,1951,7.7,"$1,000,000 (estimated)","$46,305",1491.0,1951.0,0.0
709,0043456,The Day the Earth Stood Still,1951,7.8,"$1,000,000 (estimated)","$46,305",1916.0,1951.0,3.0
710,0044081,A Streetcar Named Desire,1951,7.9,"$1,800,000 (estimated)","$49,523",2930.0,1951.0,3.0
711,0044030,Show Boat,1951,6.9,"$1,800,000 (estimated)","$49,523",2977.0,1951.0,3.0
713,0043278,An American in Paris,1951,7.2,"$2,723,903 (estimated)","$272,619",3389.0,1951.0,1.0
718,0043949,Quo Vadis,1951,7.1,"$7,623,000 (estimated)","$101,486",5092.0,1951.0,3.0
719,0043390,Cause for Alarm!,1951,6.4,"$7,623,000 (estimated)","$101,486",5739.0,1951.0,3.0
720,0044205,Westward the Women,1951,7.6,"$7,623,000 (estimated)","$101,486",6498.0,1951.0,3.0
724,0045152,Singin' in the Rain,1952,8.3,"$2,540,800 (estimated)","$2,000,288",612.0,1952.0,3.0
735,0044391,The Bad and the Beautiful,1952,7.8,"$1,558,000 (estimated)","$2,025",7323.0,1952.0,2.0
736,0043511,Europe '51,1952,7.4,"$1,558,000 (estimated)","$2,025",8241.0,1952.0,3.0
737,0044672,The Greatest Show on Earth,1952,6.6,"$4,000,000 (estimated)","$36,000,000",9596.0,1952.0,2.0
743,0045943,Julius Caesar,1953,7.2,"$2,070,000 (estimated)","$10,831",1272.0,1953.0,1.0
744,0046183,Peter Pan,1953,7.3,"$4,000,000 (estimated)","$87,404,651",1118.0,1953.0,3.0
745,0046268,The Wages of Fear,1953,8.2,"$4,000,000 (estimated)","$87,404,651",1444.0,1953.0,1.0
746,0046250,Roman Holiday,1953,8.0,"$1,500,000 (estimated)","$4,518",1554.0,1953.0,3.0
747,0046085,Mogambo,1953,6.6,"$1,500,000 (estimated)","$4,518",1362.0,1953.0,2.0
748,0046438,Tokyo Story,1953,8.2,"$1,500,000 (estimated)","$4,518",1630.0,1953.0,3.0
749,0045537,The Band Wagon,1953,7.4,"$2,169,120 (estimated)","$14,537",1692.0,1953.0,1.0
750,0046359,Stalag 17,1953,8.0,"$2,169,120 (estimated)","$14,537",1883.0,1953.0,0.0
751,0046534,The War of the Worlds,1953,7.0,"$2,169,120 (estimated)","$14,537",2375.0,1953.0,1.0
753,0045810,Gentlemen Prefer Blondes,1953,7.1,"$2,260,000 (estimated)",$648,2547.0,1953.0,3.0
759,0045793,From Here to Eternity,1953,7.6,"$1,650,000 (estimated)","$36,416",4071.0,1953.0,3.0
768,0046345,Summer with Monika,1953,7.5,"SEK 484,000 (estimated)","$14,316",5998.0,1953.0,3.0
769,0045826,Glen or Glenda,1953,4.2,"$20,000 (estimated)","$10,158",6797.0,1953.0,0.0
776,0045888,House of Wax,1953,7.0,"$1,000,000 (estimated)","$23,750,000",9290.0,1953.0,3.0
782,0047472,Seven Brides for Seven Brothers,1954,7.3,"$2,540,000 (estimated)","$13,672",1351.0,1954.0,3.0
787,0047396,Rear Window,1954,8.5,"$1,000,000 (estimated)","$37,034,579",2132.0,1954.0,3.0
