,title,id,imdbid,year,rating
230,"Cocoanuts, The",1953,0019777,1929,2
231,Welcome Danger,1962,0020572,1929,0
232,Pandora&#39;s Box (Die B&uuml;chse der Pandora),2324,0018737,1929,3
233,Man with a Movie Camera,3897,0019760,1929,0
234,Blackmail,5979,0019702,1929,2
235,Throw of the Dice,6046,0020286,1929,0
236,Juno and the Paycock [The Shame of Mary Boyle],7287,0021015,1929,3
237,Broadway Melody,8464,0019729,1929,3
238,"Blue Angel, The",1315,0020697,1930,1
239,All Quiet on the Western Front,1316,0020629,1930,0
240,Anna Christie,1326,0020641,1930,3
241,Ladies of Leisure,3713,0021040,1930,3
242,L&#39;Age d&#39;Or,3871,0021577,1930,0
243,Morocco,3865,0021156,1930,1
244,Min and Bill,3927,0021148,1930,3
245,Be Yourself,4253,0020670,1930,2
246,"Bat Whispers, The",6782,0020668,1930,3
247,Murder!,7291,0021165,1930,3
248,Animal Crackers,8463,0020640,1930,3
249,M,610,0022100,1931,3
250,M&auml;dchen in Uniform,628,0022183,1931,3
251,Night Nurse,636,0022208,1931,3
252,Frankenstein,1317,0021884,1931,1
253,Anna Christie,1327,0020642,1931,3
254,Mata Hari,1333,0023196,1931,3
255,Tabu: A Story of the South Seas,1633,0022458,1931,0
256,Indiscreet,1828,0022000,1931,3
257,"Last Flight, The",1956,0022054,1931,0
258,Pardon Us,1974,0022251,1931,0
259,Dracula,1985,0021814,1931,2
260,Monkey Business,2384,0022158,1931,1
261,City Lights,2705,0021749,1931,3
262,"Smiling Lieutenant, The",4243,0022074,1931,2
263,"Cheat, The",5741,0021735,1931,3
264,"Public Enemy, The",5934,0022286,1931,3
265,La Chienne,6030,0021739,1931,3
266,A Nous la Liberte,6031,0022599,1931,1
267,Little Caesar,6043,0021079,1931,1
268,"Skin Game, The",7294,0022395,1931,3
269,Rich and Strange [East of Shanghai],7296,0023395,1931,2
270,Dracula,8213,0021815,1931,3
271,Cimarron,8467,0021746,1931,3
272,Hyppolit a lakaj,8557,0021985,1931,1
273,Skippy,9095,0022397,1931,3
274,"Champ, The",9110,0021730,1931,1
275,I Am a Fugitive from a Chain Gang,1318,0023042,1932,1
276,Grand Hotel,1328,0022958,1932,3
277,"Age of Consent, The",1983,0022614,1932,2
278,Horse Feathers,2383,0023027,1932,1
279,White Zombie,2550,0023694,1932,0
280,Boudu Saved from Drowning,2767,0022718,1932,1
281,"I Was Born, But...",3530,0023634,1932,1
282,"Most Dangerous Game, The",3658,0023238,1932,0
283,Freaks,3659,0022913,1932,2
284,Island of Lost Souls,3844,0024188,1932,1
285,"Old Dark House, The",4775,0023293,1932,3
286,Merrily We Go to Hell,5742,0023213,1932,3
287,"Girl from Calgary, The",5783,0022940,1932,2
288,Vampyr,5910,0023649,1932,3
289,Shanghai Express,5929,0023458,1932,3
290,Three on a Match,6051,0023590,1932,3
291,Love Me Tonight,6052,0023158,1932,2
292,Scarface,6063,0023427,1932,1
293,Red-Headed Woman,6092,0023385,1932,3
294,"Death Kiss, The",6176,0023935,1932,1
295,Thirteen Women,6852,0023582,1932,3
296,"Blue Light (Das Blaue Licht), The",6990,0022694,1932,1
297,Number 17,7301,0023285,1932,0
298,"Bitter Tea of General Yen, The",10705,0023814,1932,3
299,Footlight Parade,802,0024028,1933,3
300,Queen Christina,1330,0024481,1933,3
301,"Private Life of Henry VIII., The",1248,0024473,1933,1
302,King Kong,2229,0024216,1933,0
303,Little Women,2231,0024264,1933,3
304,Alice in Wonderland,3188,0023753,1933,3
305,"Vampire Bat, The",3210,0024727,1933,3
306,42nd Street,4335,0024034,1933,3
307,Day of Reckoning,5029,0023932,1933,3
308,Duck Soup,5185,0023969,1933,1
309,Tomorrow at Seven,5752,0024679,1933,3
310,Gold Diggers of 1933,5916,0024069,1933,3
311,Female,6056,0024008,1933,3
312,A Study in Scarlet,6193,0024625,1933,3
313,"Peanut Vendor, The",6205,0024432,1933,0
314,"Invisible Man, The",7450,0024184,1933,1
315,Baby Face,7528,0023775,1933,3
316,Design for Living,8346,0023940,1933,1
317,Cavalcade,8477,0023876,1933,3
318,"Kennel Murder Case, The",10492,0024210,1933,1
319,She Done Him Wrong,10702,0024548,1933,2
320,Sons of the Desert,10714,0024601,1933,3
321,It Happened One Night,621,0025316,1934,3
322,"Cat&#39;s-Paw, The",1324,0024961,1934,1
323,"Scarlet Empress, The",1325,0025746,1934,3
324,"Painted Veil, The",1329,0025617,1934,1
325,"Count of Monte Cristo, The",1246,0025004,1934,1
326,Cleopatra,1270,0024991,1934,1
327,Of Human Bondage,1379,0025586,1934,1
328,L&#39;atalante,1795,0024844,1934,0
329,"Lost Patrol, The",1969,0025423,1934,0
330,Spitfire,4443,0025822,1934,3
331,Maniac,4702,0025465,1934,3
332,Anne of Green Gables,5319,0024831,1934,3
333,Lost in the Stratosphere,5523,0025424,1934,2
334,Search for Beauty,5821,0025755,1934,3
335,Evelyn Prentice,6772,0025091,1934,3
